transaction_id,sale_date,ingredient_id,ingredient_name,unit_of_measure,missing_qty,cost_price,missing_value
b3aabe38-1df9-4790-8707-477797cbfff6,2026-06-09,c6d2be06-4266-4e81-b6d5-05de3e6edfe7,CAFEA PRAJITA - PREMIUM 3 1kg,kg,0.0100,100,1.0000
b3aabe38-1df9-4790-8707-477797cbfff6,2026-06-09,4d14f609-4674-44b3-b11e-0c2f7e8f0e24,CAPAC DE PLASTIC 6 OZ,Buc,1.0000,0.08,0.0800
b3aabe38-1df9-4790-8707-477797cbfff6,2026-06-09,14ecacea-0f5b-4dee-9f98-bfb8d6e8a0a9,PAHAR 6 OZ,Buc,1.0000,0.095,0.0950
b3aabe38-1df9-4790-8707-477797cbfff6,2026-06-09,afa8aefc-c6d5-4a7d-9a00-b75639c704f4,PALETE,Buc,1.0000,0.035,0.0350
b3aabe38-1df9-4790-8707-477797cbfff6,2026-06-09,b05b0e00-5331-4a44-beb3-fcd092704c31,ZAHAR BRUN 5 GR,Buc,1.0000,0.056,0.0560
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,5ad0c48d-754c-47a2-9268-15a28309d101,CAFEA PRAJITA - GUJI ETHIOPIA 1kg,kg,0.0800,,0.0000
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,9989a447-5901-4a7c-a2f5-a38f2c5955a7,CAPAC SL45,Buc,4.0000,0.13,0.5200
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,20c512f5-19f5-4bb7-96b3-61c176fbc3ea,LAPTE BIO UHT,L,1.2000,6,7.2000
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,7baac072-db5c-437e-94c0-f9e0a43ffb0b,PAHAR 16 OZ,Buc,4.0000,0.24,0.9600
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,afa8aefc-c6d5-4a7d-9a00-b75639c704f4,PALETE,Buc,4.0000,0.035,0.1400
53445dd5-e958-4557-baee-ac6afa05a126,2026-06-09,b05b0e00-5331-4a44-beb3-fcd092704c31,ZAHAR BRUN 5 GR,Buc,8.0000,0.056,0.4480
33ba0590-da89-4c3d-8cf5-f0761d7af3cd,2026-06-09,c6d2be06-4266-4e81-b6d5-05de3e6edfe7,CAFEA PRAJITA - PREMIUM 3 1kg,kg,0.0200,100,2.0000
33ba0590-da89-4c3d-8cf5-f0761d7af3cd,2026-06-09,4d14f609-4674-44b3-b11e-0c2f7e8f0e24,CAPAC DE PLASTIC 6 OZ,Buc,2.0000,0.08,0.1600
33ba0590-da89-4c3d-8cf5-f0761d7af3cd,2026-06-09,14ecacea-0f5b-4dee-9f98-bfb8d6e8a0a9,PAHAR 6 OZ,Buc,2.0000,0.095,0.1900
33ba0590-da89-4c3d-8cf5-f0761d7af3cd,2026-06-09,afa8aefc-c6d5-4a7d-9a00-b75639c704f4,PALETE,Buc,2.0000,0.035,0.0700
