sale_date,n_orders,total_gross
2026-01-11,1,3.50
2026-01-12,16,72.50
2026-01-13,7,72.00
2026-01-14,13,79.50
2026-01-15,18,124.50
2026-01-16,8,78.00
2026-01-17,8,126.00
2026-01-18,2,34.00
2026-01-19,11,135.00
2026-01-20,12,151.00
2026-01-21,12,166.00
2026-01-22,13,139.00
2026-01-23,10,89.00
2026-01-24,8,71.00
2026-01-26,17,382.90
2026-01-27,11,163.00
2026-01-28,16,194.50
2026-01-29,18,213.00
2026-01-30,21,238.00
2026-02-02,14,136.00
2026-02-03,11,161.50
2026-02-04,15,154.00
2026-02-05,20,251.00
2026-02-06,17,242.50
2026-02-07,16,200.50
2026-02-09,14,149.00
2026-02-10,16,145.00
2026-02-11,12,167.50
2026-02-12,19,202.00
2026-02-13,12,138.50
2026-02-14,13,230.00
2026-02-16,14,168.50
2026-02-17,8,218.50
2026-02-18,16,205.50
2026-02-19,16,220.00
2026-02-20,6,88.00
2026-02-21,9,108.00
2026-02-23,14,144.50
2026-02-24,15,157.50
2026-02-25,13,591.80
2026-02-26,14,189.50
2026-02-27,17,243.50
2026-03-02,12,131.00
2026-03-03,12,140.00
2026-03-04,17,220.00
2026-03-05,14,229.00
2026-03-06,25,322.00
2026-03-09,26,311.00
2026-03-10,8,82.00
2026-03-11,15,174.00
2026-03-12,10,124.00
2026-03-13,19,301.00
2026-03-14,14,179.00
2026-03-16,13,192.00
2026-03-17,22,274.50
2026-03-18,20,286.00
2026-03-19,16,196.00
2026-03-20,18,214.00
2026-03-21,7,81.50
2026-03-23,20,285.00
2026-03-24,21,378.00
2026-03-25,23,422.00
2026-03-26,18,333.00
2026-03-27,16,322.00
2026-03-28,10,143.00
2026-03-30,17,236.00
2026-03-31,17,237.00
2026-04-01,25,396.80
2026-04-02,14,198.00
2026-04-03,22,374.00
2026-04-04,12,136.00
2026-04-06,26,318.60
2026-04-07,21,299.00
2026-04-08,18,248.00
2026-04-09,14,167.00
2026-04-11,13,275.00
2026-04-14,24,371.00
2026-04-15,14,259.00
2026-04-16,20,293.00
2026-04-17,24,313.80
2026-04-18,19,274.00
2026-04-20,22,298.00
2026-04-21,15,270.00
2026-04-23,4,36.00
2026-04-24,25,323.00
2026-04-25,19,333.00
2026-04-27,26,451.00
2026-04-28,28,423.00
2026-04-29,30,702.40
2026-04-30,18,254.00
2026-05-01,12,153.50
2026-05-02,6,83.00
2026-05-04,17,206.00
2026-05-05,25,382.00
2026-05-06,26,498.00
2026-05-07,29,368.00
2026-05-08,32,661.25
2026-05-09,11,176.00
2026-05-11,37,550.00
2026-05-12,30,604.00
2026-05-13,16,225.20
2026-05-18,21,305.00
2026-05-19,25,295.00
2026-05-20,29,554.00
2026-05-21,31,479.40
2026-05-22,28,492.50
2026-05-23,10,118.00
2026-05-25,26,389.00
2026-05-26,33,476.00
2026-05-27,25,601.00
2026-05-28,33,539.00
2026-05-29,34,394.00
2026-05-30,11,227.00
2026-06-01,19,277.50
2026-06-02,21,337.00
2026-06-03,28,451.20
2026-06-04,31,480.20
2026-06-05,31,426.70
2026-06-07,1,324.00
2026-06-08,27,499.00
2026-06-09,36,610.00
2026-06-10,18,246.00
2026-06-11,20,415.60
2026-06-13,13,179.00
2026-06-15,20,266.00
(125 rows)
