receipt_date,supplier,picking_id,total_value
2026-01-06,GOURMET COFFEE SRL,28,1352.03
2026-01-13,GOURMET COFFEE SRL,38,542.35
2026-02-02,GOURMET COFFEE SRL,48,78.00
2026-02-02,GOURMET COFFEE SRL,49,156.00
2026-02-02,GOURMET COFFEE SRL,53,191.94
2026-02-02,GOURMET COFFEE SRL,54,81.50
2026-02-02,GOURMET COFFEE SRL,65,156.00
2026-02-02,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,70,0.00
2026-02-02,SC STOCKDAY SRL - RO37512786,67,547.06
2026-02-03,SC DD NORD CATERING SRL - RO51811597,72,0.00
2026-02-06,GOURMET COFFEE SRL,76,718.00
2026-02-09,GOURMET COFFEE SRL,83,156.00
2026-02-16,GOURMET COFFEE SRL,93,47.00
2026-02-16,GOURMET COFFEE SRL,94,78.00
2026-02-18,FOUR DECOR INTERNATIONAL SRL - RO30523710,97,144.96
2026-02-19,GOURMET COFFEE SRL,104,156.00
2026-02-24,GOURMET COFFEE SRL,111,200.00
2026-02-27,GOURMET COFFEE SRL,115,42.00
2026-03-02,GOURMET COFFEE SRL,117,560.00
2026-03-09,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,123,197.00
2026-03-23,GOURMET COFFEE SRL,144,749.00
2026-03-31,LPP ROMANIA FASHION SRL - 22418650,155,171.96
2026-03-31,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,154,134.05
2026-04-01,IKEA ROMANIA S/A/,157,593.59
2026-04-02,GOURMET COFFEE SRL,159,326.97
2026-04-06,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,164,115.70
2026-04-09,GOURMET COFFEE SRL,169,551.00
2026-04-21,GOURMET COFFEE SRL,182,560.00
2026-04-21,GOURMET COFFEE SRL,183,161.27
2026-04-27,GOURMET COFFEE SRL,167,0.00
2026-04-27,GOURMET COFFEE SRL,191,0.00
2026-04-28,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,193,179.65
2026-04-29,GOURMET COFFEE SRL,195,572.00
2026-04-29,GOURMET COFFEE SRL,196,64.97
2026-05-02,GOURMET COFFEE SRL,201,569.83
2026-05-04,GOURMET COFFEE SRL,203,373.75
2026-05-06,GOURMET COFFEE SRL,206,179.82
2026-05-08,GOURMET COFFEE SRL,210,910.35
2026-05-08,IKEA ROMANIA S/A/,209,0.00
2026-05-12,GOURMET COFFEE SRL,214,374.67
2026-05-18,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,217,37.00
2026-05-20,GOURMET COFFEE SRL,220,535.00
2026-05-22,GOURMET COFFEE SRL,224,332.85
2026-05-22,SC METRO CASH & CARRY ROMANIA SRL - RO8119423,223,252.30
2026-05-27,GOURMET COFFEE SRL,229,633.25
2026-06-07,GOURMET COFFEE SRL,241,382.00
(46 rows)
