product_name,odoo_category,odoo_active,odoo_purchase_ok,supabase_status,action
AEROPRESS - BARI S.O. 360ml,PRODUSE FINITE,True,False,ok,skip
AEROPRESS - BIO COLUMBIA S.O. 360ml,PRODUSE FINITE,True,False,ok,skip
AEROPRESS - NICARAGUA S.O. 360ml,PRODUSE FINITE,True,False,ok,skip
AEROPRESS - PERU S.O. 360ml,PRODUSE FINITE,True,False,ok,skip
AMERICANO,PRODUSE FINITE,True,False,exists active=False purchaseable=False,update_flags
AMERICANO - COLUMBIA BIO 360ml,PRODUSE FINITE,True,False,ok,skip
AMERICANO - COLUMBIA BIO 480ml,PRODUSE FINITE,True,False,ok,skip
AMERICANO - DEKOF COLUMBIA S.O. 240ml,PRODUSE FINITE,True,False,missing,insert
AMERICANO - PERU S.O. 240ml,PRODUSE FINITE,True,False,ok,skip
AMERICANO H.B. 300ml,PRODUSE FINITE,True,False,exists active=False purchaseable=False,update_flags
AMERICANO H.B. 480ml,PRODUSE FINITE,True,False,ok,skip
AMERICANO S.O. 230ml,PRODUSE FINITE,True,False,missing,insert
AMERICANO S.O. 240ml,PRODUSE FINITE,False,False,ok,skip
AMERICANO S.O. 300ml,PRODUSE FINITE,True,False,exists active=False purchaseable=False,update_flags
APA MINERALA DORNA,MARFURi,False,True,missing,insert
APA PLATA DORNA,MARFURi,True,True,exists active=False purchaseable=False,update_flags
APA PLATA IZVORUL ALB,MARFURi,True,True,exists active=False purchaseable=False,update_flags
BISCUITI PARMEZAN,MARFURi,False,True,missing,insert
CAFEA BOABE - CUORE DI COLUMBIA,MARFURi,False,True,missing,insert
CAFEA BOABE - CUORE DI COLUMBIA 1kg,MARFURi,False,True,missing,insert
CAFEA BOABE - GIOIA DI GUATEMALA,MARFURi,False,True,missing,insert
CAFEA BOABE - GIOIA DI GUATEMALA 1kg,MARFURi,False,True,missing,insert
CAFEA BOABE - NOSTALGIA DI ETHIOPIA,MARFURi,False,True,missing,insert
CAFEA BOABE - NOSTALGIA DI ETHIOPIA 1kg n,MARFURi,False,True,missing,insert
CAFEA BOABE - PREMIUM 10,MARFURi,False,True,missing,insert
CAFEA BOABE - PREMIUM 10 1kg (copie),MARFURi,False,True,missing,insert
CAFEA BOABE - PREMIUM 3,MARFURi,False,True,missing,insert
CAFEA BOABE - PREMIUM 3 (copie),MARFURi,False,True,missing,insert
CAFEA BOABE - SEGRETO DI INDIA,MARFURi,False,True,missing,insert
CAFEA BOABE - SEGRETO DI INDIA 1kg,MARFURi,False,True,missing,insert
CAFEA BOABE - SOGNO DI KENIA,MARFURi,False,True,missing,insert
CAFEA BOABE DECOF - CUORE DI COLUMBIA 1kg,MARFURi,False,True,missing,insert
CAFEA PRAJITA DECOF SWISS WATER,MATERIA PRIMA,True,True,missing,insert
CAFEA PRAJITA ETHIOPIA,MATERIA PRIMA,True,True,missing,insert
CAFEA PRAJITA PREMIUM 10,MATERIA PRIMA,True,True,missing,insert
CAPAC DE PLASTIC 6 OZ,MATERIA PRIMA,True,True,ok,skip
CAPAC PAHAR FRAPPE DL95,MATERIA PRIMA,True,True,ok,skip
CAPAC SL37,MATERIA PRIMA,True,True,ok,skip
CAPAC SL45,MATERIA PRIMA,True,True,ok,skip
CAPPUCCINO - BARI S.O. 480ml,PRODUSE FINITE,True,False,ok,skip
CAPPUCCINO - COLUMBIA BIO 250ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO H.B. 230ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO H.B. 480ml,PRODUSE FINITE,True,False,ok,skip
CAPPUCCINO S.O 300ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO VEGETAL H.B. 240ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO VIENNESE - COLUMBIA BIO 360ml,PRODUSE FINITE,True,False,ok,skip
CAPPUCCINO VIENNESSE H.B. 300ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO VIENNESSE H.B. 480ml,PRODUSE FINITE,True,False,ok,skip
CAPPUCCINO VIENNESSE S.O. 230ml,PRODUSE FINITE,True,False,missing,insert
CAPPUCCINO VIENNESSE S.O. 300ml,PRODUSE FINITE,True,False,missing,insert
CAPUCCINO,PRODUSE FINITE,False,False,missing,insert
CAPUCCINO VIENEZ,PRODUSE FINITE,True,False,missing,insert
CAPUCCINO double,PRODUSE FINITE,True,False,missing,insert
CEAI ALB VANILIE & PIERSICA,PRODUSE FINITE,True,True,ok,skip
CEAI BERRY WOW,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI CAPSUNI & MENTA,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI CAPSUNI & MENTA 16 oz,PRODUSE FINITE,True,False,ok,skip
CEAI DE MUSETEL,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI EARL GREY,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI FRUCTE DE PADURE,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI FRUCTE DE PADURE 16 oz,PRODUSE FINITE,True,False,ok,skip
CEAI FRUITY CAMOMILE,PRODUSE FINITE,True,True,missing,insert
CEAI FRUITY CAMOMILE (copie),PRODUSE FINITE,True,False,ok,skip
CEAI GHIMBIR & LAMAIE,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI JADE GREEN,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI LAMAIE,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI LAMAIE & GHIMBIR 16 oz,PRODUSE FINITE,True,False,ok,skip
CEAI LAMAIE 16 oz,PRODUSE FINITE,True,False,ok,skip
CEAI MENTA CU LAMAIE,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
CEAI MINT KISS,PRODUSE FINITE,True,True,exists active=True purchaseable=False,update_flags
