name,category,sku,barcode,unit,sale_price_gross,cost_price,active,purchase_ok,sale_ok,available_in_pos
APA MINERALA DORNA,MARFURi,,,Units,5.50,0,f,t,t,t
APA PLATA DORNA,MARFURi,,,Units,6.50000,0,t,t,t,t
APA PLATA IZVORUL ALB,MARFURi,,,Units,6.50000,0,t,t,t,t
BISCUITI PARMEZAN,MARFURi,,,Units,10.00000,0,f,t,t,t
CAFEA BOABE - CUORE DI COLUMBIA,MARFURi,,,kg,200.00000,0,f,t,t,t
CAFEA BOABE - CUORE DI COLUMBIA 1kg,MARFURi,,,Units,200.00000,0,f,t,t,t
CAFEA BOABE - GIOIA DI GUATEMALA,MARFURi,,,kg,230.00000,0,f,t,t,t
CAFEA BOABE - GIOIA DI GUATEMALA 1kg,MARFURi,,,Units,230.00000,0,f,t,t,t
CAFEA BOABE - NOSTALGIA DI ETHIOPIA,MARFURi,,,kg,180.00000,0,f,t,t,t
CAFEA BOABE - NOSTALGIA DI ETHIOPIA 1kg n,MARFURi,,,Units,180.00000,0,f,t,t,t
CAFEA BOABE - PREMIUM 10,MARFURi,,,kg,200.00000,0,f,t,t,t
CAFEA BOABE - PREMIUM 10 1kg (copie),MARFURi,,,Units,200.00000,0,f,t,t,t
CAFEA BOABE - PREMIUM 3,MARFURi,,,kg,199.90000,0,f,t,t,t
CAFEA BOABE - PREMIUM 3 (copie),MARFURi,,,Units,200.00000,0,f,t,t,t
CAFEA BOABE - SEGRETO DI INDIA,MARFURi,,,kg,212.90000,0,f,t,t,t
CAFEA BOABE - SEGRETO DI INDIA 1kg,MARFURi,,,Units,213.00000,0,f,t,t,t
CAFEA BOABE - SOGNO DI KENIA,MARFURi,,,kg,254.90000,0,f,t,t,t
CAFEA BOABE DECOF - CUORE DI COLUMBIA 1kg,MARFURi,,,Units,255.00000,0,f,t,t,t
CHEC CU LAMAIE & MAC,MARFURi,,,Units,11.00000,0,f,t,t,t
CHEC CU MORCOV & CIOCOLATA ALBA,MARFURi,,,Units,11.00000,0,f,t,t,t
CHEC MARMORAT,MARFURi,,,Units,11.00000,0,f,t,t,t
CHEC MARMORAT,MARFURi,,,Units,11.00000,0,f,t,t,t
COCACOLA 330 ML DOZA,MARFURi,,,Units,10.50000,0,t,t,t,t
COOKIE CIOCOLATA ALBA,MARFURi,,,Units,11.00000,0,f,t,t,t
COOKIE CIOCOLATA NEAGRA & FULGI SARE,MARFURi,,,Units,11.00000,0,f,t,t,t
FANTA 330 ML DOZA,MARFURi,,,Units,5.50,0,f,t,t,t
