odoo_finished_product,franchisetech_product,ingredient,action,old_unit_cost,new_unit_cost
CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE,cost_updated,0,0.555
CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE 480ml,CAPAC SL45,cost_updated,0,0.13
CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE 480ml,PAHAR 16 OZ,cost_updated,0,0.24
CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE 480ml,PALETE,cost_updated,0,0.04
CEAI FRUCTE DE PADURE 480ml,CEAI FRUCTE DE PADURE 480ml,MIERE PLIC,cost_updated,0,0.35
AMERICANO - COLUMBIA BIO 360ml,AMERICANO - COLUMBIA BIO 360ml,PAHAR 12 OZ,cost_updated,0,0.22
AMERICANO - COLUMBIA BIO 360ml,AMERICANO - COLUMBIA BIO 360ml,CAFEA BIO COLUMBIA - LA ORQUIDEA PLANADAS 250gr,cost_updated,0,137.0
AMERICANO - COLUMBIA BIO 360ml,AMERICANO - COLUMBIA BIO 360ml,ZAHAR BRUN 5 GR,cost_updated,0,0.07
AMERICANO - COLUMBIA BIO 360ml,AMERICANO - COLUMBIA BIO 360ml,CAPAC SL37,cost_updated,0,0.12
AMERICANO - COLUMBIA BIO 360ml,AMERICANO - COLUMBIA BIO 360ml,PALETE,cost_updated,0,0.04
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,PAHAR 12 OZ,cost_updated,0,0.22
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,CAFEA BIO COLUMBIA - LA ORQUIDEA PLANADAS 250gr,cost_updated,0,137.0
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,ZAHAR BRUN 5 GR,cost_updated,0,0.07
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,LAPTE BIO UHT,cost_updated,0,6.0
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,PALETE,cost_updated,0,0.04
LATTE - COLUMBIA BIO 360ml,LATTE - COLUMBIA BIO 360ml,CAPAC SL37,cost_updated,0,0.12
CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO 480ml,CAPAC SL45,cost_updated,0,0.13
CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO,cost_updated,0,0.5328
CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO 480ml,PAHAR 16 OZ,cost_updated,0,0.24
CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO 480ml,PALETE,cost_updated,0,0.04
CEAI VERDE SENCHA MANGO 480ml,CEAI VERDE SENCHA MANGO 480ml,MIERE PLIC,cost_updated,0,0.35
DOUBLE ESPRESSO - COLUMBIA BIO 60ml,DOUBLE ESPRESSO - COLUMBIA BIO 60ml,CAFEA BIO COLUMBIA - LA ORQUIDEA PLANADAS 250gr,cost_updated,0,137.0
DOUBLE ESPRESSO - COLUMBIA BIO 60ml,DOUBLE ESPRESSO - COLUMBIA BIO 60ml,PAHAR 6 OZ,cost_updated,0,0.1
DOUBLE ESPRESSO - COLUMBIA BIO 60ml,DOUBLE ESPRESSO - COLUMBIA BIO 60ml,CAPAC DE PLASTIC 6 OZ,cost_updated,0,0.09
DOUBLE RISTRETTO - COLUMBIA BIO 60ml,DOUBLE RISTRETTO - COLUMBIA BIO 60ml,CAFEA BIO COLUMBIA - LA ORQUIDEA PLANADAS 250gr,cost_updated,0,137.0
DOUBLE RISTRETTO - COLUMBIA BIO 60ml,DOUBLE RISTRETTO - COLUMBIA BIO 60ml,PAHAR 6 OZ,cost_updated,0,0.1
DOUBLE RISTRETTO - COLUMBIA BIO 60ml,DOUBLE RISTRETTO - COLUMBIA BIO 60ml,CAPAC DE PLASTIC 6 OZ,cost_updated,0,0.09
DOUBLE ESPRESSO - BARI S.O. 60ml ,DOUBLE ESPRESSO - BARI S.O. 60ml,CAPAC DE PLASTIC 6 OZ,cost_updated,0,0.09
DOUBLE ESPRESSO - BARI S.O. 60ml ,DOUBLE ESPRESSO - BARI S.O. 60ml,PAHAR 6 OZ,cost_updated,0,0.1
DOUBLE ESPRESSO - BARI S.O. 60ml ,DOUBLE ESPRESSO - BARI S.O. 60ml,CAFEA PRAJITA - BREZZA DI BARI 1KG,cost_updated,0,111.0
DOUBLE ESPRESSO - BARI S.O. 60ml ,DOUBLE ESPRESSO - BARI S.O. 60ml,ZAHAR BRUN 5 GR,cost_updated,0,0.07
DOUBLE ESPRESSO - BARI S.O. 60ml ,DOUBLE ESPRESSO - BARI S.O. 60ml,PALETE,cost_updated,0,0.04
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,PAHAR 8 OZ,cost_updated,0,0.2
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,ZAHAR BRUN 5 GR,cost_updated,0,0.07
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,CAFEA PRAJITA - PREMIUM 3 1kg,cost_updated,0,100.0
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,LAPTE BIO UHT,cost_updated,0,6.0
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,PALETE,cost_updated,0,0.04
CAPPUCCINO H.B. 240ml,CAPPUCCINO H.B. 240ml,CAPAC SL37,cost_updated,0,0.12
CEAI LAMAIE 480ml,CEAI LAMAIE 480ml,CAPAC SL45,cost_updated,0,0.13
CEAI LAMAIE 480ml,CEAI LAMAIE 480ml,PAHAR 16 OZ,cost_updated,0,0.24
CEAI LAMAIE 480ml,CEAI LAMAIE 480ml,CEAI LAMAIE,cost_updated,0,0.555
CEAI LAMAIE 480ml,CEAI LAMAIE 480ml,PALETE,cost_updated,0,0.04
CEAI LAMAIE 480ml,CEAI LAMAIE 480ml,MIERE PLIC,cost_updated,0,0.35
CEAI NEGRU DARJEELING 480ml,CEAI NEGRU DARJEELING 480ml,CEAI DARJEELING,cost_updated,0,2.2
CEAI NEGRU DARJEELING 480ml,CEAI NEGRU DARJEELING 480ml,CAPAC SL45,cost_updated,0,0.13
CEAI NEGRU DARJEELING 480ml,CEAI NEGRU DARJEELING 480ml,PAHAR 16 OZ,cost_updated,0,0.24
CEAI NEGRU DARJEELING 480ml,CEAI NEGRU DARJEELING 480ml,PALETE,cost_updated,0,0.04
CEAI NEGRU DARJEELING 480ml,CEAI NEGRU DARJEELING 480ml,MIERE PLIC,cost_updated,0,0.35
