odoo_finished_product,odoo_bom_id,ingredient_count,computed_cost_per_unit,match_status,franchisetech_product_id,franchisetech_product_name,existing_recipe_rows
CEAI FRUCTE DE PADURE 480ml,508,5,1.315,exact_has_existing_recipe,1aab5df9-08b9-4447-81ba-551ea722feb0,CEAI FRUCTE DE PADURE 480ml,1
Double espresso - decof Columbia,584,1,2.76,fuzzy,97c59d1b-5b8b-489d-9296-ea80a49bd937,ESPRESSO,0
LATTE - NICARAGUA S.O. 360ml,568,6,4.3,exact,3d4c2527-b1ae-4ff2-a5e4-a3abab1070cf,LATTE - NICARAGUA S.O. 360ml,0
AMERICANO - COLUMBIA BIO 360ml,585,5,3.19,exact_has_existing_recipe,f52a77d8-1f44-492e-8bd3-d9734ac23fcd,AMERICANO - COLUMBIA BIO 360ml,1
LATTE - COLUMBIA BIO 360ml,586,6,3.31,exact_has_existing_recipe,51869d8b-8f28-4b88-b4f9-5b5e4631e27f,LATTE - COLUMBIA BIO 360ml,1
CEAI VERDE SENCHA MANGO 480ml,511,5,1.2928,exact_has_existing_recipe,ac856e93-f917-46cf-8de3-42ea0a28a7bb,CEAI VERDE SENCHA MANGO 480ml,1
DOUBLE ESPRESSO - COLUMBIA BIO 60ml,587,3,2.93,exact_has_existing_recipe,ad57e9cb-0362-4cb7-a6ea-4e2bb1c61da0,DOUBLE ESPRESSO - COLUMBIA BIO 60ml,1
DOUBLE RISTRETTO - COLUMBIA BIO 60ml,588,3,2.93,exact_has_existing_recipe,90303faa-d47a-4ae0-8ec7-2ecd036153a6,DOUBLE RISTRETTO - COLUMBIA BIO 60ml,1
DOUBLE ESPRESSO - BARI S.O. 60ml ,499,5,2.52,exact_has_existing_recipe,f338e571-d1d4-4c61-bc80-2051e9af7c94,DOUBLE ESPRESSO - BARI S.O. 60ml,1
CAPPUCCINO H.B. 240ml,518,6,2.51,exact_has_existing_recipe,582fe16d-9183-4426-9cea-68c9b607473b,CAPPUCCINO H.B. 240ml,1
AMERICANO S.O. 230ml,515,5,2.97,exact,81d75718-698b-48cc-86db-38d649355463,AMERICANO S.O. 230ml,0
CEAI LAMAIE 480ml,510,5,1.315,exact_has_existing_recipe,d53dff75-d8d8-41c9-8420-b6dbcfec03a3,CEAI LAMAIE 480ml,1
CEAI NEGRU DARJEELING 480ml,3,5,2.96,exact_has_existing_recipe,0187e04a-bc25-4cc7-bb2c-0fb804c4382a,CEAI NEGRU DARJEELING 480ml,1
CEAI LAMAIE & GHIMBIR 480ml,509,5,1.315,exact_has_existing_recipe,44894a80-648a-490c-ba0f-81018515effa,CEAI LAMAIE & GHIMBIR 480ml,1
VEGETAL CAPPUCCINO H.B. 480ml,549,6,6.38,exact_has_existing_recipe,01ff4ba1-380f-40f2-a323-215b193a2a36,VEGETAL CAPPUCCINO H.B. 480ml,1
CAPPUCCINO - DEKOF COLUMBIA S.O. 360ml,552,6,3.93,exact_has_existing_recipe,b56b8a4d-14a9-4286-ae4f-68e7ad9b7d63,CAPPUCCINO - DEKOF COLUMBIA S.O. 360ml,1
CAPPUCCINO - BARI S.O. 360ml,525,6,4.24,exact_has_existing_recipe,dca7475b-c6ee-438d-887e-03c62d4477a9,CAPPUCCINO - BARI S.O. 360ml,1
CAPPUCCINO VIENNESSE H.B. 240ml,502,7,2.96,exact_has_existing_recipe,5ce3e619-f62c-483b-b162-3796811f9cb7,CAPPUCCINO VIENNESSE H.B. 240ml,1
