odoo_finished_product,action,franchisetech_product,detail
CEAI FRUCTE DE PADURE 480ml,update_existing_recipe_costs,CEAI FRUCTE DE PADURE 480ml,"5/5 ingredients matched by name, cost/unit 1.315"
Double espresso - decof Columbia,fuzzy_needs_confirmation,ESPRESSO,name similarity only — confirm before using
LATTE - NICARAGUA S.O. 360ml,new_recipe,LATTE - NICARAGUA S.O. 360ml,"6 ingredients, cost/unit 4.3"
AMERICANO - COLUMBIA BIO 360ml,update_existing_recipe_costs,AMERICANO - COLUMBIA BIO 360ml,"5/5 ingredients matched by name, cost/unit 3.19"
LATTE - COLUMBIA BIO 360ml,update_existing_recipe_costs,LATTE - COLUMBIA BIO 360ml,"6/6 ingredients matched by name, cost/unit 3.31"
CEAI VERDE SENCHA MANGO 480ml,update_existing_recipe_costs,CEAI VERDE SENCHA MANGO 480ml,"5/5 ingredients matched by name, cost/unit 1.2928"
DOUBLE ESPRESSO - COLUMBIA BIO 60ml,update_existing_recipe_costs,DOUBLE ESPRESSO - COLUMBIA BIO 60ml,"3/3 ingredients matched by name, cost/unit 2.93"
DOUBLE RISTRETTO - COLUMBIA BIO 60ml,update_existing_recipe_costs,DOUBLE RISTRETTO - COLUMBIA BIO 60ml,"3/3 ingredients matched by name, cost/unit 2.93"
DOUBLE ESPRESSO - BARI S.O. 60ml ,update_existing_recipe_costs,DOUBLE ESPRESSO - BARI S.O. 60ml,"5/5 ingredients matched by name, cost/unit 2.52"
CAPPUCCINO H.B. 240ml,update_existing_recipe_costs,CAPPUCCINO H.B. 240ml,"6/6 ingredients matched by name, cost/unit 2.51"
AMERICANO S.O. 230ml,new_recipe,AMERICANO S.O. 230ml,"5 ingredients, cost/unit 2.97"
CEAI LAMAIE 480ml,update_existing_recipe_costs,CEAI LAMAIE 480ml,"5/5 ingredients matched by name, cost/unit 1.315"
CEAI NEGRU DARJEELING 480ml,update_existing_recipe_costs,CEAI NEGRU DARJEELING 480ml,"5/5 ingredients matched by name, cost/unit 2.96"
CEAI LAMAIE & GHIMBIR 480ml,update_existing_recipe_costs,CEAI LAMAIE & GHIMBIR 480ml,"5/5 ingredients matched by name, cost/unit 1.315"
VEGETAL CAPPUCCINO H.B. 480ml,update_existing_recipe_costs,VEGETAL CAPPUCCINO H.B. 480ml,"6/6 ingredients matched by name, cost/unit 6.38"
CAPPUCCINO - DEKOF COLUMBIA S.O. 360ml,update_existing_recipe_costs,CAPPUCCINO - DEKOF COLUMBIA S.O. 360ml,"6/6 ingredients matched by name, cost/unit 3.93"
CAPPUCCINO - BARI S.O. 360ml,update_existing_recipe_costs,CAPPUCCINO - BARI S.O. 360ml,"6/6 ingredients matched by name, cost/unit 4.24"
CAPPUCCINO VIENNESSE H.B. 240ml,update_existing_recipe_costs,CAPPUCCINO VIENNESSE H.B. 240ml,"7/7 ingredients matched by name, cost/unit 2.96"
CAPPUCCINO VIENNESSE H.B. 360ml,update_existing_recipe_costs,CAPPUCCINO VIENNESSE H.B. 360ml,"7/7 ingredients matched by name, cost/unit 4.48"
DOUBLE ESPRESSO H.B. 60ml,update_existing_recipe_costs,DOUBLE ESPRESSO H.B. 60ml,"5/5 ingredients matched by name, cost/unit 2.37"
DOUBLE RISTRETTO - NICARAGUA S.O. 40ml,new_recipe,DOUBLE RISTRETTO - NICARAGUA S.O. 40ml,"5 ingredients, cost/unit 2.64"
AMERICANO - PERU S.O. 360ml,update_existing_recipe_costs,AMERICANO - PERU S.O. 360ml,"5/5 ingredients matched by name, cost/unit 3.0352"
DOUBLE MACCHIATO - COLUMBIA BIO 60ml,update_existing_recipe_costs,DOUBLE MACCHIATO - COLUMBIA BIO 60ml,"4/4 ingredients matched by name, cost/unit 2.99"
V60 - BARI S.O. 360ml,update_existing_recipe_costs,V60 - BARI S.O. 360ml,"3/3 ingredients matched by name, cost/unit 2.57"
AMERICANO - BARI S.O. 360ml,update_existing_recipe_costs,AMERICANO - BARI S.O. 360ml,"5/5 ingredients matched by name, cost/unit 2.75"
ESPRESSO H.B. 30ml,update_existing_recipe_costs,ESPRESSO H.B. 30ml,"5/5 ingredients matched by name, cost/unit 1.3"
LIMONADA CU MENTA,update_existing_recipe_costs,LIMONADA CU MENTA,"4/4 ingredients matched by name, cost/unit 4.71"
DOUBLE ESPRESSO - NICARAGUA S.O. 60ml,new_recipe,DOUBLE ESPRESSO - NICARAGUA S.O. 60ml,"5 ingredients, cost/unit 2.64"
VIENNESSE ICE LATTE,update_existing_recipe_costs,VIENNESSE ICE LATTE,"5/5 ingredients matched by name, cost/unit 4.78"
CEAI ROOIBOS CARAMEL SARAT 480ml,update_existing_recipe_costs,CEAI ROOIBOS CARAMEL SARAT 480ml,"5/5 ingredients matched by name, cost/unit 1.26"
LATTE H.B. 480ml,update_existing_recipe_costs,LATTE H.B. 480ml,"6/6 ingredients matched by name, cost/unit 4.89"
VEGETAL CAPPUCCINO H.B. 240ml,update_existing_recipe_costs,VEGETAL CAPPUCCINO H.B. 240ml,"6/6 ingredients matched by name, cost/unit 3.38"
CIOCOLATA CALDA ALBA 480ml,update_existing_recipe_costs,CIOCOLATA CALDA ALBA 480ml,"5/5 ingredients matched by name, cost/unit 3.91"
DOUBLE MACCHIATO - NICARAGUA S.O. 80ml,new_recipe,DOUBLE MACCHIATO - NICARAGUA S.O. 80ml,"6 ingredients, cost/unit 2.88"
FLAT WHITE - COLUMBIA BIO 240ml,update_existing_recipe_costs,FLAT WHITE - COLUMBIA BIO 240ml,"6/6 ingredients matched by name, cost/unit 4.07"
VEGETAL CAPPUCCINO H.B. 360ml,update_existing_recipe_costs,VEGETAL CAPPUCCINO H.B. 360ml,"6/6 ingredients matched by name, cost/unit 5.71"
